subj,condition,description,dv,politics,religion,gender,age,race,race_TEXT,income
R_dbC1XpAYMdE0OQl,2,The pens that she has left on her desk have all been taken.  She now needs a pen and the pens are all gone.,2,3,6,2,53,1,,1
R_8qxdjWIu8PSHiXr,2,The receptionist stocks pens and encourages faculty to take and use them.  However; one day the faculty takes the last of the pens; leaving the receptionist without any with which to take notes.,1,4,6,1,31,1,,1
R_9oWSmcz49pYSB2l,2,The receptionist shares her pens selflessly; to the point that she finds herself in need of the very item she has given away.,1,1,1,2,25,1,,1
R_4YME0yCkuK1C4Ul,2,The woman kept telling people to take the pens on her desk and then when she needed one there were none there.,2,3,4,1,32,1,,1
R_6fCZCC1hT2Z9KBv,2,the assistant lets people take pens.  people took pens and she was left without any.,2,3,2,2,26,1,,5
R_0IonyTfDFffhcbP,2,The secretary of the Philosophy department stocks pens in her desk that faculty and assistants are allowed to take. One day a professor and assistant each take a pen which leaves the secretary without a pen when she needs to write down an important message.,1,2,1,2,36,3,,3
R_9TSh52gAN8JoeZ7,2,The attitude is that it's okay to take the pens; and the receptionist has sent emails saying it was okay to take them. It seems like someone forgot pick  up some more pens ,4,3,4,1,28,1,,2
R_0JxxP3Izua1ELRP,2,A lady keeps getting her pens taken; she then sends out an email asking them not to but someone does it anyway.,3,4,1,1,27,1,,1
R_5u1obqpSrpD2fl3,2,Everyone who took pens from the drawer were allowed to take pens. But when the secretary needed a pen; they were all gone.,5,2,1,1,24,4,,4
R_512X1aiN9LDvymx,2,a couple of people took some pens of the receptionists's desk,3,1,1,1,20,2,,3
R_0ctB2KWYISq1u4d,2,She had to find a pen and put the person on hold.,4,2,4,2,31,5,black.thai,2
R_dbas6Zok1VuGfL7,2,A secretary has a bunch of pens on her desk. She has emailed everyone saying it's okay to take a pen from her desk. Today; she went to go write down something important and there were no more pens on her desk. ,3,1,1,1,26,1,,3
R_5A0yWFAfCJzDoeV,2,The receptionist allowed certain individuals to take pens from her desk that is usually well stocked. One day; she needs a pen and cannot find one. ,1,3,1,2,,2,,2
R_aXFcspFckbQps7r,2,the receptionist lets pretty much  everybody take all her pens.So that when she needed them to take that message she did'nt have any to take it with.,1,3,3,2,46,1,,1
R_bpkFttbz3QB95XL,2,A receptionist keeps pens on her desk for people to use.  Two people came and took pens; so when the receptionist needed to take an important message afterwards; she had no pen to use.,2,1,1,2,26,1,,5
R_elXeH0aj69viqUt,2,The story detailed who is allowed to remove pens from the secretary's desk.  Then one afternoon when she needed one to sign an important document there were no pens on her desk.,1,3,4,1,57,2,,3
R_6PxpwMBqU381iAZ,2,A receptionist allows employees to take the pens on her desk. Later in a day; she needs a pen and doesn't have one to take an important message. ,2,4,2,1,30,1,,4
R_0ARKa06BBsJyYXr,2,The receptionists had a cup of pens and offers them to others. They take them and leave her with none.,1,4,2,2,42,1,,6
R_7UJsN8s7eLA3wax,2,A philosophy department has pens stocked by the secretary available to professors and administrative assistants. One morning; an administrative assistant saw the professor take a pen. Later that day; the secretary had no pen to use herself.,5,6,6,1,27,1,,2
R_daqZmY762jKtNmB,2,Their pen policy ended up being unworkable.,2,6,4,1,39,1,,1
R_e9bneKJzMeiRMdT,2,People are allowed to take pens of the administrative assistants desk. One day; 2 people take the remaining pens off the administrative assistant's desk; leaving the administrative assistant with no pens. ,6,4,3,1,22,1,,3
R_1SKpxC1cmev8zXf,2,Some receptionist has a lot of pens on her desk and the workers can use the pens. Monday; some people take the pens; and now she has no pens.,2,2,1,1,26,1,,4
R_7aKoHeq8B62IGih,2,The admin assistant lets people in the office take her pens from her desk. She needs to make a message but has ran out of pens because of letting people take them.,2,2,1,1,25,1,,3
R_brxfkUygAr5ZL6t,2,A member of a philosophy department has pens; two people take pens; knowing they have the go-ahead to do so. However on Monday an assistant finds there are no pens.,1,4,3,2,29,1,,2
R_a8IKIUuABLIGCZD,2,Professors and administrative assistants are allowed to take pens from the pen pool.  When the receptionist needed a pen; none were available to be found.,4,1,1,1,32,1,,2
R_bpx3DXl7Ku8Ba2p,2,Well; everyone's basically allowed to take her pens. She makes it very clear that this is allowed and perhaps even encouraged by her emails. Of course everyone swoops in and finally her pens are gone.,1,3,1,1,22,1,,2
R_0UpkuOAwpNgWQWF,2,The receptionist allowed the people to freely take pens now she or he doesn't have one for himself or herself. I think people should at least leave one just in case.,3,4,3,2,20,3,,1
R_aXZN4iMqGDrAjEF,2,There are pens available to take from the reception desk for faculty and assistants. One day; an assistant and a professor go to get a pen and there are none left.,2,3,1,1,25,1,,1
R_bl11EycLRcBaOCp,2,Receptionist at a philosophy department has pens; and the people working there are allowed to take the pens. However; one day she needs a pen to write something; but the pens are gone since the workers took them.,2,3,1,1,21,1,,1
R_511S09K6LqM2tXD,2,The receptionist has pens left on her table that the faculty members are allowed to take; At one point the receptionist needed a pen but they were taken by the faculty crew.,3,2,4,1,39,1,,3
R_dbxsnSyKI9FM5ud,2,Professors and administrative assistants are allowed to take pens. Unfortuantely; one day when the receptionist needs to take a message; there are no pens left for her.,1,2,4,2,42,1,,4
R_3Q2RtyqSgFt22Ql,2,Both the administration and professor in the department are allowed and reminded to take pens from the receptionists desk. When she goes to write down a message she is left without pens.,1,2,3,2,27,3,,3
R_3eBUSZGIeUJ8Map,2,The receptionist encourages administrative assistants and professors to take pens she's put out on her desk.  Later; when she needed on they were all gone.,1,4,6,2,51,1,,3
R_a48TKNXuzGnc7zL,2,A department policy was setup and broadcast allowing administrative assistants and faculty members to take pens from the receptionist's desk. One day a faculty member took the last pen and the receptionist had none left to use.,2,2,1,1,37,1,,6
R_cO0RGmBFRMYfsfX,2,Receptionist sets out pens for professors and administrative members and emails them that they can take pens. An assistant sees professors taking pens; receptionist finds that there's no more pens to use when she needs them.,1,2,3,1,26,4,,2
R_3vKOcc86tAruSsR,2,The receptionist wasn't able to do her work because she let everyone take all of her pens.,2,3,1,1,33,1,,3
R_bjsFIs3orpZ2t25,2,The professor allows people to borrow her pens. As a result; one day; she ran out of pens.,5,2,2,1,28,1,,3
R_6ScVyDhWr4NaIHX,2,The receptionist keeps pens at her desk that faculty and assistance can take. She reminds them they can take them via email. Two of the staff took pens one day and all the pens were gone when the receptionist needed one. ,5,5,1,1,42,1,,4
R_6gMLrH1BdrWeput,2,It seems like anyone can take pens out of the receptionists desk; and she ran out of pens.,1,1,1,2,32,1,,3
R_6Jw5uV7JnEU9vmd,2,The receptionist allows faculty members and administrative assistants to take pens from her desk.  When she needs a pen to take a message; they have all been taken.,5,2,1,2,29,1,,5
R_0fzq6i4xOAxmxF3,2,The reception offers pens to the professors and other assistants; she typically keeps her desk well stocked. Today a professor and another assistant took her last pens and she was left for none when she needed to take a note.,2,5,6,1,47,1,,5
R_9NBZENAlZXhzXFz,2,The receptionist keeps pens at her desk that everyone keeps borrowing; and then when she needs one herself to take a message; there are no more pens.,1,2,4,2,28,1,,3
R_6XMOszGvNBaamLH,2,The receptionist stocks on pens and has allowed staff to take some of the pens. However; at one point she needed to take a message only to realize she has none. ,2,3,1,1,26,3,,1
R_3w4CR2ONWS2kqBT,2,The receptionist encouraged everyone to take pens but she didn't hide any for herself.,1,2,1,2,35,1,,3
R_0PtqMYoqAcnRBuR,2,Receptionist keeps pens stocked; those who are allowed to take the pens do; and the receptionist runs out of pens.,1,3,5,2,23,2,,2
R_3sIGzB6Cdegd0WN,2,Everyone is allowed to take the pens however there are none left for the receptionist at the end of the day.,3,4,2,1,28,4,,5
R_eu5V0N2ZKXkb2It,2,Receptionist has pens; people are allow to take them. Goes to a meeting but doens't have pens,2,2,5,1,26,1,,2
R_6A2hSEgvXTCmXqd,2,The receptionist made it a point to give away pens to the administrators and professors. She ended up regretting it because when she needed a pen; she didn't have any left.,1,4,1,2,31,2,,4
R_cBk4ZHHjr3VyECx,2,If I am reading this correctly; the wrong people (administrative assistants vs. administrators) are taking the pens and they have taken all of the receptionist pens; which leaves her unable to take down messages - an important part of her job.,5,3,2,2,24,1,,3
R_7UPAcHbjPsI9GLj,2,The receptionist keeps pens on her desk and offered adminstrators and professors to take them. On one particular day there was no pens on her desk. ,1,3,4,2,31,1,,1
R_8iXDOrEBZM6eEBf,2,Pens are allowed to be taken; but ALL the pens were not allowed to be taken. ,3,1,1,2,21,1,,1
R_6Vd1yLbAdkUvE1L,2,An administrative assistant keeps pens in her desk and repeatedly tells people that it's ok to take them.  They do; and a day finally comes when she needs a pen but has none left.,1,4,6,1,34,1,,5
