subj,condition,description,dv,politics,religion,gender,age,race,race_TEXT,income
R_8ca4iLBRymjFJul,1,If he weer opposed to a shift in the consumer base the new idea would have been trashed. People may have to work on increasing profits from the existing consumers.  The chairman does not care who his target consumer is; just that he increase profits.,2,3,5,2,57,1, ,3
R_6lipNaIsqM6hJd3,1,if he'd wanted to avoid shifting the consumer base he'd probably reject the program and stick with what they're doing.,1,1,1,2,29,1, ,2
R_4ZWm48AzhpooO4l,1,If the chairman did not want to shift the consumer base to an older demographic ;the company might have lost revenue and would have to seek other ways to maximise profits with their existing customers,7,1,1,1,43,1, ,2
R_ey3AhYxiGXYPGKx,1,If the chairman did not want to shift the consumer base; then he would not have approved the program. Of course; profits also would not be increased.,1,2,6,1,70,1, ,2
R_5oQzYldUtpXrcFv,1,If the chairman had been concerned about shifting the customer base; it is likey that the profits would not have gone up.,2,3,1,1,40,1, ,3
R_abFNPL93fjtPpQx,1,If the chairman had not wanted to move the consumer base then he would have not approved the plan; and as a result; they would have not made as much profit.,1,2,4,1,27,1, ,4
R_8icBguVKCbCb541,1,If the chairman had wished to avoid shifting the consumer base older; he would've proposed an alternative to the new venture that may not have boosted profits as much (or at all) but would've ensured that the consumer base didn't shift either way. The atttude currently is cavalier; reckless; concerned only with profits and not at all with long-term repercussions or methodology.,6,4,6,1,29,1, ,2
R_e36Z3Jv3uWl6oVD,1,If the chairman hadn't wanted to shift his customer base older he might have turned down the decision even though it would result in less profit in the short-term.  He might have done this because by skewing the customer base older; even though it would rsult in greater profits now; it would harm the company's long-term prospects as the customer base aged.,2,2,1,1,28,1, ,4
R_5amM16WxyoT0bzv,1,If the chairman of the board had decided against this program in order to avoid shifting the consumer base to be slightly older; the company would not have enjoyed the increased profits.  He made a good decision.,1,4,1,1,28,1, ,4
R_bIrgFPm7DlVkrC5,1,If the chairman specifically wanted to avoid the shift in consumer base; it is still possible that he would green light the program.  Unless; for some reason; the chairman felt very passionately about avoiding the shift; he would still be more interested n making as much profit as possible.,6,4,1,1,25,1, ,1
R_eOKmgV92F5DDtNb,1,If the chairman wanted to avoid shifting the consumer base it would be very likely they wouldn't get the profits they are getting now.,1,3,1,1,23,1, ,1
R_7QFgGK3hZwwDHgx,1,if they avoided shifting the consumer base it would have remained younger.  This may result in higher profits further down the road.,7,4,1,1,23,1, ,2
R_cZs6brj0dnWE4mh,1,if they had not shifted the consumer base; they wouldnt have made any more money.,2,5,4,1,28,1, ,2
R_1YbBYWDJR6jwi33,1,In this case I don't think it matters the age of the customer base. The chairman could have lost profit had he not made the decision he did.,1,4,2,2,45,1, ,3
R_cuy4KwEGHnD6NlX,1,It is a scenario which the company would have settled for the same old same old. He wasn't willing to take a chance and branch out.,3,5,5,1,38,1, ,3
R_0pKimw6WUIjb9rL,1,It might have been the case that they did not make as much money because they appealed to a slightly less broad; younger audience. The service/brand may have been perceived as more hip because of its younger users.,3,2,1,1,30,1, ,2
R_3QNCAg9YRJZ5fYF,1,it would have shifted to an older base anyway despite what he wanted.,2,2,2,2,59,1, ,1
R_eFdkQkAWsLyZR4h,1,It would have stayed the same and as things often stay the same in business profit declines. You must be on the up and up and always changing for the better to make it in business these days. However the chairman does not care about anything other than hi profits; so he needs someone else handling these things for him; which he has.,3,4,5,1,35,1, ,1
R_a990MLPp0jtxJYh,1,maybe the company would not have made any money.,5,5,5,1,27,1, ,2
R_804rT29s07mof53,1,Nothing really would have changed if he had decided to avoid shifting the consumer base. His decision made the most drastic effect.,4,3,1,1,21,1, ,2
R_00s89oNsasyGS6p,1,Profit/revenue would most likely remain the same instead of increasing,5,5,4,1,25,3, ,1
R_3O6KZBrNxVmH325,1,Seems like the chairman is a little too preoccupied with profits only.  Can't blame him but he seem only one-directional and not one to see the total picture much.  He must acknowledge other factors instead of being just a one-track money mind. He should ave agreed to know that it would shift to be older as well.,3,3,4,1,36,3, ,1
R_6zmTijWELAKA1Ol,1,Talk to marketing to find a way to keep his customers.,1,1,1,1,31,1, ,1
R_4UsBBosrFlhc9tX,1,The chairman did not care about shifting the consumer base; he was only concerned about making as much profit as he could. If he did care about the consumer base shifting to be older he would not have made as much profit.,1,2,3,2,28,1, ,2
R_01UKzhVEmMJqpdH,1,The chairman might have had a different opinion about making profits.,1,6,1,1,30,2, ,1
R_3COaIbS37CTZgNf,1,The chairman of the board was closed minded in that he/she only wanted profits to go up didn't seem to care about the strategy being presented. If he specifically wanted to avoid the shifting to older the profits may have not gone up.,1,3,6,1,58,1, ,3
R_8p08nHYdPvNtnq5,1,The chairman only cared about making money; not about their consumer base.  If the chairman did not want to shift the consumer base; then the profits would have probably stayed the same and not shown increase.,5,2,1,2,34,1, ,2
R_2bhlpXI4hkn5oUZ,1,The chairman only cared about money rather than shifting the customer base. If he had cared then I suspect he wouldn't have allowed the new program to be implemented.,6,3,4,2,34,1, ,1
R_6LKlh0KVbec98tn,1,The chairman probably would have not allowed the new program to start.,5,4,2,1,48,1, ,5
R_9Y1FIz2QVVwWNWl,1,The chairman was not concerned with the shift of consumer base. If he wanted to avoid this shift; he would not have followed the proposed plan; and therefore would not have seen the increase in profit.,6,2,2,2,22,1, ,2
R_0OOac4xo9CojQwZ,1,The chairman would likely alienate other consumer bases.,3,2,1,1,32,1, ,3
R_aWuzmvdgOTaIEMl,1,The chairman wouldn't have accepted the vice-president idea. Probably his company wouldn't have made enough profit.,1,2,4,2,35,1, ,3
R_cZT605ZZIv7KYaV,1,The chairmen might have missed a chance to maximize profits in the short term. He may have feared that he may lose profits in the long term by moving away from a younger more dynamic demographic.,6,2,1,1,42,1, ,3
R_4ZKtXVGPXHr2D0p,1,The company might not have made more profit if the comsumer base didn't shift.,1,1,1,1,33,4, ,3
R_2fRLj7IdXlf94k5,1,The company probably wouldnt have made as much money.,7,4,1,1,26,1, ,2
R_bjPKD85BdztAVKt,1,The company that comes to mind is the Gap.  When I was young it was a disco store as I remember.  It's definitely now a yuppie store.  I guess if this Chairman was the chairman of the Gap; they would not have made the transition from a youthful store to amore mature store.  They'd probably be out of business.,6,2,1,1,42,1, ,5
R_bCOVqJoamWUTT5r,1,The company would have missed this opportunity.,4,3,1,1,20,1, ,1
R_eh8CUbIYvKdvvAF,1,The company would most likely lose profits and the company would either begin to lay off employees or shut down. They had to shift position inorder to make the most profits are the company and keep the current employees  employed.,7,1,5,2,34,2, ,2
R_9AcX58s5iJ1TEfX,1,The customer base would have stayed a bit younger but the profit would not have budged at all.,4,4,5,1,36,1, ,2
R_eM2yUkMgblX7MMZ,1,The marketing plan would have to be more aggressive targetting younger people.  Overall; the chairman was just concerned about profit however.,1,4,4,1,26,1, ,2
R_0eLBkM1SygdjFfT,1,the model proposed would have been at risk and thus their plan to increase profits may not have happened,1,6,6,1,45,1, ,5
R_0660MJYH62h43D7,1,The profits may have stayed the same if he was unwilling the shift the consumer base.,5,1,1,2,23,1, ,4
R_cBDezcWCiXfHLbn,1,The profits might not have increased; the consumer base will have remained younger demographics.,7,1,1,2,40,1, ,1
R_37WBNKOKWCDasst,1,Their profits wouldn't have increased.,7,1,1,2,33,1, ,1
R_bxqPc6mYVDAKwPH,1,Then nothing would have changed.,2,4,6,1,29,1, ,2
R_eM9wF37FKjf743j,1,Then the product that they would continue to sell would probably not be as lucrative.,6,3,1,1,23,4, ,1
R_0DK8IADnZNQWvYx,1,Then they probably would not have increased profits.  This decision could have affected the chairman's job security.,2,5,6,1,36,1, ,1
R_cMHN53XPjQVa097,1,There must be a way to make a program that could apply to the older demographic and keep the programs for the younger demo.,7,2,1,1,28,1, ,3
R_9HnJBsxXEeNb42N,1,There would be conflict and disagreement about which ways can they make the most profit.,7,2,1,1,24,1, ,1
R_8hOHWbH4GRhet13,1,There would have been no increase in profits. The consumer base for the company would not have shifted to be slightly older.,2,6,1,1,23,1, ,1
R_brbd9cOOnaz9K0l,1,They probably wouldn't of made more money.,6,3,3,1,20,1, ,1
R_9GlV2aDj5pnLw0t,1,They would not have considered the new product they were introducing if they did not want to shift the demographics.,2,1,1,2,27,1, ,3
R_39pU0fO6MQOebAx,1,They would not have increased their profits or they would have to come up with a different way to increase their profits.,7,3,1,2,27,1, ,2
R_es048lgfgRPF1Pf,1,They would not of made enough profit he had chosen to do that,2,5,5,1,28,1, ,2
R_a3jgXJhBUUQJkeF,1,They wouldn't have increased their profits and the company would have maintained or slipped down in rankings.,6,5,5,1,27,1, ,2
R_bHEytymyha9a77D,1,Well if he didnt want to shift the customer base then the ocmpany would have not seen the increase in profits like it was hoping for. This was due to the fact that he didnt want to alienate the current customer base for the company. However since he was fne with the idea of changing up the customer base; the idea was able to come to fruition and be inacted. Which caused the increase in profit for the company.,3,2,2,1,31,3, ,2
R_2uaOH6s9Yi3Lowt,1,Well if he had wanted to avoid shifting the consumer base then he would not of allowed the start of the new program;,5,1,1,1,29,1, ,2
R_1EM551oQsyKPDDv,1,Well they might have not shifted the consumer base to older; If he was the chairman he has a more influencial say than the rest of the people on the baord; maybe the other people would just fall in line with whatever he said as not to make him upset.,5,1,1,1,31,1, ,1
